"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","248.60408995137666","64.63589994595857","4.721908316964448","-0.31197865973435573","0.05269999999999997","0.0134","0.092","1300","0.00017669558365413147","0","0.00017669558365413147","0.00017669558365413147","","","true"
"1","283.8328795037022","85.07354701466801","4.81513590032656","-0.3097440319777085","0.06679999999999997","0.0304","0.1032","1300","0.0008729944458584535","0","0.0008729944458584535","0.0008729944458584535","1_0:0.02061255423717359","1_0:660","true"
"2","348.2991824597707","272.4586555385069","4.609655107492074","-0.3090875180776862","0.014900000000000024","0.0218","0.008","1300","0.00018892105029168755","0","0.00018892105029168755","0.00018892105029168755","2_1:0.011220530646139204","2_1:660","true"
"3","363.0920959010181","317.6590167315921","4.875545985705616","-0.30968652168552707","0.025900000000000034","0.0118","0.04","1300","0.0001151059720330252","0","0.0001151059720330252","0.0001151059720330252","3_2:0.008013082877260658","3_2:660","true"
"4","261.7580525498175","255.4825298507693","4.818175808974537","-0.3103713081153928","0.020299999999999985","0.023","0.0176","1300","0.0006497170551029827","0","0.0006497170551029827","0.0006497170551029827","4_15:0.01001318046989444;4_3:0.006009226775511328;4_5:0.007824165020020257","4_15:660;4_3:660;4_5:660","true"
"5","91.52067443790935","183.9514563759378","4.7341447892979165","-0.3114518235315779","0.00990000000000002","0.015","0.0048","1300","0.00021489867834612728","0","0.00021489867834612728","0.00021489867834612728","","","true"
"6","111.14715358917087","73.9843769826399","4.876275766278119","-0.30918835047116894","0.009000000000000008","0.0092","0.0088","1300","0.0002344700059753904","0","0.0002344700059753904","0.0002344700059753904","6_5:0.00887889347628179;6_7:0.006487078057433149","6_5:660;6_7:660","true"
"7","394.32822636294395","419.23644349495675","4.967524822898377","-0.30745739300983294","0.022199999999999998","0.0338","0.0106","1300","0.00040407853196882206","0","0.00040407853196882206","0.00040407853196882206","7_8:0.004927051337854538","7_8:660","true"
"8","198.6317538783509","187.80193338130687","4.902345248208107","-0.30837827664687645","0.012199999999999989","0.0116","0.0128","1300","0.00015924787808262175","0","0.00015924787808262175","0.00015924787808262175","8_9:0.0060775439521385255","8_9:660","true"
"9","337.229381752795","187.89781153079676","4.987235069122292","-0.3080310587566364","0.007199999999999984","0.0054","0.009","1300","0.0001504872461306533","0","0.0001504872461306533","0.0001504872461306533","","","true"
"10","270.4575891284","282.7033367949141","4.831534448410197","-0.3097434424405673","0.018000000000000016","0.0118","0.0242","1300","0.00010088274936504989","0","0.00010088274936504989","0.00010088274936504989","10_9:0.0048882017178508985;10_11:0.006674297626362902","10_9:660;10_11:660","true"
"11","205.97781055093716","221.30425542864373","4.972305689737398","-0.307214316560019","0.1472","0.1294","0.165","1300","0.00018817019001455616","0","0.00018817019001455616","0.00018817019001455616","11_12:0.004232072150451599","11_12:660","true"
