"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","288.8940823871598","118.40377930699988","4.897860289286927","-0.30830037970047425","0.017900000000000027","0.0134","0.0224","1500","0.00018999741010558268","0","0.00018999741010558268","0.00018999741010558268","0_1:0.004841924360670852","0_1:660","true"
"1","445.44206203044405","407.9613304124507","4.838936719201139","","0.01539999999999997","0.0168","0.014","1500","0.00011102919914328426","0","0.00011102919914328426","0.00011102919914328426","1_2:0.005962946731315033","1_2:660","true"
"2","314.3867251881008","172.0318693037253","4.654752085157676","-0.3118878799709304","0.12239999999999995","0.1628","0.082","1500","0.0016999536504600304","0","0.0016999536504600304","0.0016999536504600304","2_3:0.03024172737569919","2_3:660","true"
"3","162.64222263347665","126.15518027351818","4.855530592709178","-0.30925864887979854","0.013299999999999979","0.0138","0.0128","1500","0.00024098825941892637","0","0.00024098825941892637","0.00024098825941892637","","","true"
"4","405.4706736508436","199.9707690776513","4.909483697451156","-0.30814930861447104","0.014599999999999946","0.0108","0.0184","1500","0.00023001711128785169","0","0.00023001711128785169","0.00023001711128785169","4_15:0.005506930079693717;4_3:0.0034696674535131533","4_15:660;4_3:660","true"
"5","152.1483716859097","117.87393871908623","4.818694688160994","-0.30958565804365407","0.01870000000000005","0.0128","0.0246","1500","0.0003613983086895874","0","0.0003613983086895874","0.0003613983086895874","5_4:0.008204730645169966;5_6:0.006249915891848229","5_4:660;5_6:660","true"
"6","363.4739055676387","100.9649633466711","4.7582607350702135","-0.30931899513970895","0.05449999999999999","0.0276","0.0814","1500","0.00015389131221402183","0","0.00015389131221402183","0.00015389131221402183","6_7:0.006142725167743002","6_7:660","true"
"7","279.08938375098523","53.19725698933269","4.5322316628566774","-0.3153085977514802","0.017199999999999993","0.0216","0.0128","1500","0.00023897254208322803","0","0.00023897254208322803","0.00023897254208322803","","","true"
"8","392.99536329238975","60.32123824332638","4.770932629937806","-0.3107240604358965","0.026800000000000046","0.0282","0.0254","1500","0.000336788046888945","0","0.000336788046888945","0.000336788046888945","8_9:0.008274877252382656;8_7:0.0074743100366940485","8_9:660;8_7:660","true"
"9","380.24439209969194","299.6858988976722","4.863684061364244","-0.3088384973978332","0.006000000000000005","0.005","0.007","1500","0.00017724882811012696","0","0.00017724882811012696","0.00017724882811012696","","","true"
"10","288.29362065784073","233.6101791120729","4.776330736444653","-0.3102561917352623","0.006000000000000005","0.0066","0.0054","1500","0.00023692363966266975","0","0.00023692363966266975","0.00023692363966266975","10_9:0.009300861552720113","10_9:660","true"
"11","422.9075901086508","66.84534497218455","4.67040179200446","-0.31065439833944936","0.014100000000000001","0.014","0.0142","1500","0.0002644288009562285","0","0.0002644288009562285","0.0002644288009562285","11_10:0.005654548046145652;11_12:0.013063634707531496","11_10:660;11_12:660","true"
"12","322.0348246123568","26.76987047449582","4.578768865258543","-0.3092994184637879","0.02059999999999995","0.0226","0.0186","1500","0.0005584698509767063","0","0.0005584698509767063","0.0005584698509767063","12_17:0.01662137188644358","12_17:660","true"
"13","494.50730183905017","231.96280613660397","4.622902754375765","-0.3132306393256634","0.007299999999999973","0.0074","0.0072","1500","0.0001397364722602873","0","0.0001397364722602873","0.0001397364722602873","13_12:0.012404567492006163","13_12:660","true"
"14","191.1051554021663","168.29167415106892","4.7879854663814845","-0.30900343434313965","0.008399999999999963","0.0104","0.0064","1500","0.00027428796297880787","0","0.00027428796297880787","0.00027428796297880787","14_0:0.006614632192030845","14_0:660","true"
"15","401.1012014987051","148.95897695824112","4.700448469106428","-0.3120030136653","0.021299999999999986","0.0164","0.0262","1500","0.0003038363531070113","0","0.0003038363531070113","0.0003038363531070113","15_22:0.007615155395206019","15_22:660","true"
"16","206.83317008984713","238.03953551535628","4.610972442027231","-0.3138385279742742","0.04179999999999995","0.008","0.0756","1500","0.0002509398639102512","0","0.0002509398639102512","0.0002509398639102512","16_8:0.006877735124346307","16_8:660","true"
"17","288.41366115803504","177.6811247254879","4.790201037788487","-0.309639823236787","0.023900000000000032","0.018","0.0298","1500","0.0002729745133589404","0","0.0002729745133589404","0.0002729745133589404","17_30:0.006544983024185547","17_30:660","true"
"18","430.63997492860466","72.1285603663526","4.917804577176941","-0.30823139413664785","0.11550000000000005","0.0164","0.2146","1500","0.0003478309662002663","0","0.0003478309662002663","0.0003478309662002663","18_19:0.017424245487561746;18_14:0.00573876624870609","18_19:660;18_14:660","true"
"19","373.1570820864264","25.462715076829188","4.712185270809672","-0.3060263319182738","0.05830000000000002","0.0382","0.0784","1500","0.000589165185860129","0","0.000589165185860129","0.000589165185860129","19_20:0.015804226907752156","19_20:660","true"
"20","195.50115298329195","151.27761190223077","4.75196896495511","-0.31065479909444627","0.05569999999999997","0.0922","0.0192","1500","0.00026081453091146773","0","0.00026081453091146773","0.00026081453091146773","","","true"
"21","336.55673683333146","243.66152611674823","4.643668115681287","-0.3118989078141984","0.11860000000000004","0.0132","0.224","1500","0.00019359401032094124","0","0.00019359401032094124","0.00019359401032094124","21_20:0.005219471724556307","21_20:660","true"
"22","240.09651143088405","424.56465403478103","4.893367052235095","-0.3085260924821569","0.057599999999999985","0.0118","0.1034","1500","0.00019740102278544626","0","0.00019740102278544626","0.00019740102278544626","22_21:0.006993798922465905;22_23:0.005832580428540984","22_21:660;22_23:660","true"
"23","555.8829086828009","28.954954989577864","4.674635216027312","-0.31124151331845984","0.029299999999999993","0.0402","0.0184","1500","0.00022745839306695647","0","0.00022745839306695647","0.00022745839306695647","","","true"
"24","266.00470832724966","41.091134294934506","4.734285957520288","-0.31079041514477307","0.02059999999999995","0.0208","0.0204","1500","0.00043059518019489756","0","0.00043059518019489756","0.00043059518019489756","24_23:0.008018560668481084","24_23:660","true"
"25","261.4088234393146","138.68487127515994","4.809625417169752","-0.310553819024601","0.04200000000000004","0.0276","0.0564","1500","0.00019935468954073655","0","0.00019935468954073655","0.00019935468954073655","25_24:0.008580527189550796;25_26:0.005260218368377201","25_24:660;25_26:660","true"
"26","415.47533189112994","139.0009235873493","4.713705445235587","-0.3109596371888392","0.03310000000000002","0.039","0.0272","1500","0.0001805221803566674","0","0.0001805221803566674","0.0001805221803566674","26_16:0.0062572481848339745","26_16:660","true"
