Qubit,T1 (us),T2 (us),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,RX error ,Z-axis rotation (rz) error ,√x (sx) error ,Pauli-X error ,CZ error ,Gate time (ns),Operational
0,64.77414416779234,55.959808374624856,0.0085,0.0148,0.0022,1560,0.000974883,0.000974883,0,0.000974883,0.000974883,0_1:0.009372434346756692,0_1:84,TRUE
1,181.52519781949425,265.1717548274472,0.028699999999999948,0.0212,0.0362,1560,0.000255336,0.000255336,0,0.000255336,0.000255336,1_2:1;1_0:0.009372434346756692,1_2:84;1_0:84,TRUE
2,297.2597787518312,163.76537451088063,0.014499999999999957,0.0138,0.015199999999999991,1560,0.000117845,0.000117845,0,0.000117845,0.000117845,2_1:1;2_3:0.00200839926736468,2_1:84;2_3:84,TRUE
3,232.05733873381115,213.38696498604418,0.0365,0.0374,0.035599999999999965,1560,0.000174168,0.000174168,0,0.000174168,0.000174168,3_16:0.004375418381183688;3_2:0.00200839926736468;3_4:0.002628605722965749,3_16:84;3_2:84;3_4:84,TRUE
4,164.98742413285314,116.93474233938103,0.0059,0.0076,0.0042,1560,0.000173994,0.000173994,0,0.000173994,0.000173994,4_3:0.002628605722965749;4_5:0.005668148196352085,4_3:84;4_5:84,TRUE
5,139.16611795141466,29.31261659604879,0.0573,0.0918,0.0228,1560,0.00062999,0.00062999,0,0.00062999,0.00062999,5_6:1;5_4:0.005668148196352085,5_6:84;5_4:84,TRUE
6,153.81183800795495,130.55372789986336,0.0187,0.0176,0.0198,1560,0.000230027,0.000230027,0,0.000230027,0.000230027,6_5:1;6_7:0.0032751243363298987,6_5:84;6_7:84,TRUE
7,89.43226184254026,21.08182797597439,0.031200000000000006,0.0392,0.0232,1560,0.000398231,0.000398231,0,0.000398231,0.000398231,7_17:0.006357264562330961;7_6:0.0032751243363298987;7_8:0.0041574480491987365,7_17:84;7_6:84;7_8:84,TRUE
8,108.33041829631576,41.49654248148359,0.014000000000000012,0.018000000000000016,0.01,1560,0.000303381,0.000303381,0,0.000303381,0.000303381,8_9:0.0018502829930594766;8_7:0.0041574480491987365,8_9:84;8_7:84,TRUE
9,154.7282078584992,68.83330998557804,0.027700000000000058,0.0316,0.0238,1560,0.000196953,0.000196953,0,0.000196953,0.000196953,9_8:0.0018502829930594766;9_10:1,9_8:84;9_10:84,TRUE
10,182.85889451284987,133.4482203344415,0.0221,0.026000000000000023,0.0182,1560,0.000233291,0.000233291,0,0.000233291,0.000233291,10_9:1;10_11:0.0035207454861439225,10_9:84;10_11:84,TRUE
11,133.12548968988838,85.86133134631652,0.0262,0.0304,0.022,1560,0.000245093,0.000245093,0,0.000245093,0.000245093,11_18:0.002263277782371703;11_10:0.0035207454861439225;11_12:0.002512552027350984,11_18:84;11_10:84;11_12:84,TRUE
12,68.36158752969693,63.55555723926773,0.012499999999999956,0.015800000000000036,0.0092,1560,0.000344455,0.000344455,0,0.000344455,0.000344455,12_13:0.0028871511096924263;12_11:0.002512552027350984,12_13:84;12_11:84,TRUE
13,155.6698297379933,131.1333723153574,0.0285,0.0316,0.0254,1560,0.000210409,0.000210409,0,0.000210409,0.000210409,13_12:0.0028871511096924263;13_14:1,13_12:84;13_14:84,TRUE
14,221.69344387555978,87.96944377768516,0.0276,0.032,0.0232,1560,0.00021069,0.00021069,0,0.00021069,0.00021069,14_15:0.002507039586000015;14_13:1,14_15:84;14_13:84,TRUE
15,269.3942224543468,173.19990894588162,0.031200000000000006,0.0382,0.0242,1560,0.000307226,0.000307226,0,0.000307226,0.000307226,15_14:0.002507039586000015;15_19:0.0025392484088169465,15_14:84;15_19:84,TRUE
16,154.29494594255692,119.46802147133756,0.035499999999999976,0.046599999999999975,0.0244,1560,0.000316504,0.000316504,0,0.000316504,0.000316504,16_23:0.0042200912338732355;16_3:0.004375418381183688,16_23:84;16_3:84,TRUE
17,92.94265736102894,87.10470023,0.015199999999999991,0.0216,0.0088,1560,0.000207111,0.000207111,0,0.000207111,0.000207111,17_7:0.006357264562330961;17_27:0.015041203224892857,17_7:84;17_27:84,TRUE
18,102.95268443856457,77.18488209041622,0.0263,0.0264,0.0262,1560,0.0010722,0.0010722,0,0.0010722,0.0010722,18_11:0.002263277782371703;18_31:0.00791549791419488,18_11:84;18_31:84,TRUE
19,135.6779527789661,78.75845761955964,0.014399999999999968,0.016599999999999948,0.0122,1560,0.000600812,0.000600812,0,0.000600812,0.000600812,19_35:0.002222422977728289;19_15:0.0025392484088169465,19_35:84;19_15:84,TRUE
20,223.04704556676901,236.85184052664232,0.0461,0.0556,0.0366,1560,0.000206444,0.000206444,0,0.000206444,0.000206444,20_21:0.006049633283639888,20_21:84,TRUE
21,282.1430170458757,151.31890692820375,0.013499999999999956,0.0154,0.0116,1560,0.000261001,0.000261001,0,0.000261001,0.000261001,21_36:0.006895689101728858;21_20:0.006049633283639888;21_22:1,21_36:84;21_20:84;21_22:84,TRUE
22,132.8193544846408,127.81302016120894,0.013800000000000034,0.017800000000000038,0.0098,1560,0.000167267,0.000167267,0,0.000167267,0.000167267,22_23:0.002902419994709443;22_21:1,22_23:84;22_21:84,TRUE
23,149.4167220308262,105.63852876410415,0.012399999999999967,0.022599999999999953,0.0022,1560,0.000283968,0.000283968,0,0.000283968,0.000283968,23_22:0.002902419994709443;23_24:0.0035432125949476645;23_16:0.0042200912338732355,23_22:84;23_24:84;23_16:84,TRUE
24,142.13649524506914,107.6157050576261,0.014399999999999968,0.020399999999999974,0.0084,1560,0.000318627,0.000318627,0,0.000318627,0.000318627,24_23:0.0035432125949476645;24_25:0.00318298277078477,24_23:84;24_25:84,TRUE
25,79.17192907711481,83.47052153378509,0.012,0.019,0.005,1560,0.000200776,0.000200776,0,0.000200776,0.000200776,25_24:0.00318298277078477;25_26:1;25_37:0.002057702622468488,25_24:84;25_26:84;25_37:84,TRUE
26,72.17527408585927,55.024921936708346,0.0186,0.0262,0.011,1560,0.000294336,0.000294336,0,0.000294336,0.000294336,26_25:1;26_27:0.010871366813164723,26_25:84;26_27:84,TRUE
27,133.44327337531777,146.87095499403415,0.0071,0.011399999999999966,0.0028,1560,0.000289218,0.000289218,0,0.000289218,0.000289218,27_26:0.010871366813164723;27_28:1;27_17:0.015041203224892857,27_26:84;27_28:84;27_17:84,TRUE
28,83.92078072509553,133.72323453566537,0.019500000000000073,0.0292,0.0098,1560,0.000386751,0.000386751,0,0.000386751,0.000386751,28_27:1;28_29:0.004970793188460665,28_27:84;28_29:84,TRUE
29,64.52764972248592,39.38606664973345,0.0286,0.027800000000000047,0.0294,1560,0.000214531,0.000214531,0,0.000214531,0.000214531,29_38:0.002439728561292681;29_28:0.004970793188460665;29_30:1,29_38:84;29_28:84;29_30:84,TRUE
30,131.79616232916732,124.15225134047355,0.0069,0.0104,0.0034,1560,0.000254601,0.000254601,0,0.000254601,0.000254601,30_31:0.002806804165262633;30_29:1,30_31:84;30_29:84,TRUE
31,164.50913236694205,74.95337567261541,0.0075,0.0112,0.0038,1560,0.000273692,0.000273692,0,0.000273692,0.000273692,31_30:0.002806804165262633;31_32:0.019496517876166797;31_18:0.00791549791419488,31_30:84;31_32:84;31_18:84,TRUE
