"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","Gate time (ns)","Operational"
"0","63.76706192525436","62.10288714722839","0.014599999999999946","0.0202","0.009","1560","0.0009806892743474687","0.0009806892743474687","0","0.0009806892743474687","0.0009806892743474687","0_1:0.00803422975747814","0_1:84","true"
"1","244.86959733139508","308.65090919525863","0.013000000000000012","0.0124","0.0136","1560","0.0002862331291011997","0.0002862331291011997","0","0.0002862331291011997","0.0002862331291011997","1_2:0.0025968815822220714;1_0:0.00803422975747814","1_2:84;1_0:84","true"
"2","196.50902768099334","143.2216583220712","0.0023999999999999577","0.004","0.0008","1560","0.00023690473565216957","0.00023690473565216957","0","0.00023690473565216957","0.00023690473565216957","2_1:0.0025968815822220714;2_3:0.001994415609271133","2_1:84;2_3:84","true"
"3","161.26097612816068","182.31172254738212","0.011700000000000044","0.0154","0.008","1560","0.00021595012757750362","0.00021595012757750362","0","0.00021595012757750362","0.00021595012757750362","3_16:0.003711461405934091;3_2:0.001994415609271133;3_4:0.0029516248888488417","3_16:84;3_2:84;3_4:84","true"
"4","124.55359771932011","117.98331821983939","0.0049000000000000155","0.0088","0.001","1560","0.0003114276644470846","0.0003114276644470846","0","0.0003114276644470846","0.0003114276644470846","4_3:0.0029516248888488417;4_5:0.0021127189879012187","4_3:84;4_5:84","true"
"5","258.3436531561151","215.13937834980436","0.006299999999999972","0.0092","0.0034","1560","0.0002082839609400756","0.0002082839609400756","0","0.0002082839609400756","0.0002082839609400756","5_6:0.0022519416036287376;5_4:0.0021127189879012187","5_6:84;5_4:84","true"
"6","226.5834881398377","110.85227637031899","0.0038000000000000256","0.0062","0.0014","1560","0.00027764698588393893","0.00027764698588393893","0","0.00027764698588393893","0.00027764698588393893","6_5:0.0022519416036287376;6_7:0.002952166932866651","6_5:84;6_7:84","true"
"7","137.1977950411704","42.72241445466105","0.01959999999999995","0.0306","0.0086","1560","0.00032387449587404043","0.00032387449587404043","0","0.00032387449587404043","0.00032387449587404043","7_17:0.0063600987905349515;7_6:0.002952166932866651;7_8:0.0035340979890250146","7_17:84;7_6:84;7_8:84","true"
"8","100.70152150454699","49.90025633951056","0.0040000000000000036","0.0068","0.0012","1560","0.0003344630166100133","0.0003344630166100133","0","0.0003344630166100133","0.0003344630166100133","8_9:0.0021938806113050713;8_7:0.0035340979890250146","8_9:84;8_7:84","true"
"9","131.49076437899458","78.5416393111985","0.01090000000000002","0.0132","0.0086","1560","0.00020022209458978642","0.00020022209458978642","0","0.00020022209458978642","0.00020022209458978642","9_8:0.0021938806113050713;9_10:0.002018688527057888","9_8:84;9_10:84","true"
"10","175.18066244450677","102.25198929175411","0.0048000000000000265","0.0082","0.0014","1560","0.00019680229160350582","0.00019680229160350582","0","0.00019680229160350582","0.00019680229160350582","10_9:0.002018688527057888;10_11:0.003655696158338495","10_9:84;10_11:84","true"
"11","163.21472370172623","85.8703155464398","0.012900000000000023","0.013","0.0128","1560","0.00023470991159721546","0.00023470991159721546","0","0.00023470991159721546","0.00023470991159721546","11_18:0.002426650408640929;11_10:0.003655696158338495;11_12:0.0033737516796298606","11_18:84;11_10:84;11_12:84","true"
"12","78.71306564675433","67.42587866578782","0.02070000000000005","0.0288","0.0126","1560","0.00044586778778592776","0.00044586778778592776","0","0.00044586778778592776","0.00044586778778592776","12_13:0.003437551098722902;12_11:0.0033737516796298606","12_13:84;12_11:84","true"
"13","248.18890237253476","159.297732462978","0.008099999999999996","0.0094","0.0068","1560","0.0002583947191142062","0.0002583947191142062","0","0.0002583947191142062","0.0002583947191142062","13_12:0.003437551098722902;13_14:0.0015963585439263406","13_12:84;13_14:84","true"
"14","182.96586207361784","99.01119646791284","0.0024999999999999467","0.004","0.001","1560","0.00016048596208983494","0.00016048596208983494","0","0.00016048596208983494","0.00016048596208983494","14_15:0.002221869808325755;14_13:0.0015963585439263406","14_15:84;14_13:84","true"
"15","359.57251881772885","131.04825864412263","0.024599999999999955","0.0426","0.0066","1560","0.0002621041685685429","0.0002621041685685429","0","0.0002621041685685429","0.0002621041685685429","15_14:0.002221869808325755;15_19:0.0029922369811818117","15_14:84;15_19:84","true"
"16","63.80098095344009","43.44075941111532","0.011700000000000044","0.0232","0.0002","1560","0.0007199455035861405","0.0007199455035861405","0","0.0007199455035861405","0.0007199455035861405","16_23:0.003966348269761111;16_3:0.003711461405934091","16_23:84;16_3:84","true"
"17","136.3106911613518","92.05557944387485","0.00660000000000005","0.0116","0.0016","1560","0.0003115396290351022","0.0003115396290351022","0","0.0003115396290351022","0.0003115396290351022","17_7:0.0063600987905349515;17_27:0.015454287297191754","17_7:84;17_27:84","true"
"18","82.881640281207","36.28099126200593","0.006299999999999972","0.008","0.0046","1560","0.00030546688105206925","0.00030546688105206925","0","0.00030546688105206925","0.00030546688105206925","18_11:0.002426650408640929;18_31:0.0030887063755004607","18_11:84;18_31:84","true"
"19","129.75572569251457","139.7017131727896","0.007900000000000018","0.0142","0.0016","1560","0.0009131211439036221","0.0009131211439036221","0","0.0009131211439036221","0.0009131211439036221","19_35:0.0028029215075500713;19_15:0.0029922369811818117","19_35:84;19_15:84","true"
"20","173.90666892024086","166.68770688988528","0.0037000000000000366","0.0054","0.002","1560","0.000285681154446485","0.000285681154446485","0","0.000285681154446485","0.000285681154446485","20_21:0.004213289533794906","20_21:84","true"
"21","269.31542586340277","156.47989403299692","0.0040999999999999925","0.0076","0.0006","1560","0.0002424373151892943","0.0002424373151892943","0","0.0002424373151892943","0.0002424373151892943","21_36:0.007207186306294439;21_20:0.004213289533794906;21_22:0.0024919569801201413","21_36:84;21_20:84;21_22:84","true"
"22","67.79874262435114","87.35643270575576","0.0046000000000000485","0.0092","0","1560","0.00015914333816953482","0.00015914333816953482","0","0.00015914333816953482","0.00015914333816953482","22_23:0.0020214133008856494;22_21:0.0024919569801201413","22_23:84;22_21:84","true"
"23","245.6000509855928","166.93640156270843","0.0040999999999999925","0.0072","0.001","1560","0.00018927456319621985","0.00018927456319621985","0","0.00018927456319621985","0.00018927456319621985","23_22:0.0020214133008856494;23_24:0.0028504554503600843;23_16:0.003966348269761111","23_22:84;23_24:84;23_16:84","true"
"24","105.63917923565437","191.59955577540524","0.005600000000000049","0.0082","0.003","1560","0.0002553839193095698","0.0002553839193095698","0","0.0002553839193095698","0.0002553839193095698","24_23:0.0028504554503600843;24_25:0.002978884977221291","24_23:84;24_25:84","true"
"25","169.1951595336766","134.40367641316848","0.010000000000000009","0.0142","0.0058","1560","0.00020331593443049603","0.00020331593443049603","0","0.00020331593443049603","0.00020331593443049603","25_24:0.002978884977221291;25_26:0.002747690332822933;25_37:0.0022812513896925124","25_24:84;25_26:84;25_37:84","true"
"26","58.85983038111244","48.35509630109939","0.005800000000000027","0.0098","0.0018","1560","0.00028686408686402016","0.00028686408686402016","0","0.00028686408686402016","0.00028686408686402016","26_25:0.002747690332822933;26_27:0.010642181037322729","26_25:84;26_27:84","true"
"27","193.76300816498227","157.2013014586476","0.0041999999999999815","0.006","0.0024","1560","0.0002690639798825241","0.0002690639798825241","0","0.0002690639798825241","0.0002690639798825241","27_26:0.010642181037322729;27_28:0.2112473495960916;27_17:0.015454287297191754","27_26:84;27_28:84;27_17:84","true"
"28","196.76198673843626","243.633433195862","0.0047000000000000375","0.008","0.0014","1560","0.00017309736641125438","0.00017309736641125438","0","0.00017309736641125438","0.00017309736641125438","28_27:0.2112473495960916;28_29:0.005121587113351339","28_27:84;28_29:84","true"
"29","164.12736070409784","46.555240712571496","0.009000000000000008","0.0124","0.0056","1560","0.0002671032545465902","0.0002671032545465902","0","0.0002671032545465902","0.0002671032545465902","29_38:0.0022357684597666405;29_28:0.005121587113351339;29_30:0.0026411781489538155","29_38:84;29_28:84;29_30:84","true"
"30","144.36213392898577","120.51177333916037","0.0050000000000000044","0.0064","0.0036","1560","0.00022428193929423143","0.00022428193929423143","0","0.00022428193929423143","0.00022428193929423143","30_31:0.0032548773850068213;30_29:0.0026411781489538155","30_31:84;30_29:84","true"
"31","53.8090782346851","77.46487720380674","0.010600000000000054","0.013","0.0082","1560","0.00031648717175161934","0.00031648717175161934","0","0.00031648717175161934","0.00031648717175161934","31_30:0.0032548773850068213;31_32:0.018485119071159434;31_18:0.0030887063755004607","31_30:84;31_32:84;31_18:84","true"
"32","111.14585927607388","140.81709155064422","0.013800000000000034","0.0196","0.008","1560","0.0002834232558423805","0.0002834232558423805","0","0.0002834232558423805","0.0002834232558423805","32_31:0.018485119071159434;32_33:1","32_31:84;32_33:84","true"
"33","109.28019605386673","107.1382481683241","0.007000000000000006","0.0122","0.0018","1560","0.0001836519876437831","0.0001836519876437831","0","0.0001836519876437831","0.0001836519876437831","33_39:0.0022417972697134914;33_32:1;33_34:0.00279764179691111","33_39:84;33_32:84;33_34:84","true"
"34","117.72436925627258","67.17429522576751","0.005700000000000038","0.0076","0.0038","1560","0.0006181985671010461","0.0006181985671010461","0","0.0006181985671010461","0.0006181985671010461","34_33:0.00279764179691111;34_35:0.002275137723164039","34_33:84;34_35:84","true"
"35","167.09663705761656","51.34062272112601","0.008499999999999952","0.0154","0.0016","1560","0.00040543673203984585","0.00040543673203984585","0","0.00040543673203984585","0.00040543673203984585","35_19:0.0028029215075500713;35_34:0.002275137723164039","35_19:84;35_34:84","true"
"36","184.50232695391722","152.88508989223348","0.005099999999999993","0.0084","0.0018","1560","0.0003405569312046439","0.0003405569312046439","0","0.0003405569312046439","0.0003405569312046439","36_41:0.002281534643642502;36_21:0.007207186306294439","36_41:84;36_21:84","true"
