"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","56.8540286841988","72.35878726975241","5.243551523972542","-0.20640003780600244","0.025499999999999967","0.027","0.024","1112.888888888889","0.0005796112135256062","0","0.0005796112135256062","0.0005796112135256062","0_14:0.011617708774952995;0_1:0.015810417372250724","0_14:586.6666666666666;0_1:586.6666666666666","true"
"1","309.067418768035","292.0567086427804","5.189775231200521","-0.3035374525792092","0.008600000000000052","0.011","0.0062","1112.888888888889","0.00014102836609477265","0","0.00014102836609477265","0.00014102836609477265","1_2:0.005921980447623959","1_2:586.6666666666666","true"
"2","278.72597602001036","260.9589986437688","5.081333859960893","-0.30547207120472913","0.009800000000000031","0.0152","0.0044","1112.888888888889","0.00016441616252750826","0","0.00016441616252750826","0.00016441616252750826","2_3:0.006529279676064176","2_3:586.6666666666666","true"
"3","262.63078244320116","228.69218921205564","5.000416909924594","-0.30653521639884634","0.010800000000000032","0.0124","0.0092","1112.888888888889","0.0003249406386451562","0","0.0003249406386451562","0.0003249406386451562","","","true"
"4","187.93182146076083","90.37338464523528","5.060646989064617","-0.306003311474314","0.026100000000000012","0.0348","0.0174","1112.888888888889","0.0001537120177238822","0","0.0001537120177238822","0.0001537120177238822","4_15:0.005321999762366664;4_3:0.006768424654041039;4_5:0.005912607232593736","4_15:586.6666666666666;4_3:586.6666666666666;4_5:586.6666666666666","true"
"5","138.40361419260856","245.18295833972837","5.223893015468999","-0.3034775234621872","0.024399999999999977","0.0194","0.0294","1112.888888888889","0.0001644121123499679","0","0.0001644121123499679","0.0001644121123499679","","","true"
"6","51.17684426510197","24.949321940920793","5.15209824950939","-0.3032552587522541","0.006800000000000028","0.0108","0.0028","1112.888888888889","0.0019131349032374676","0","0.0019131349032374676","0.0019131349032374676","6_5:0.015510416790878695;6_7:0.0070238214354062245","6_5:764.4444444444445;6_7:586.6666666666666","true"
"7","235.5290738201972","50.00737529469609","5.069770476788281","-0.3055637461842537","0.010800000000000032","0.0126","0.009","1112.888888888889","0.00022554844403598428","0","0.00022554844403598428","0.00022554844403598428","7_8:0.005608246364280922","7_8:586.6666666666666","true"
"8","120.94471649810885","201.6916434967849","5.0209903903485165","-0.3064355548953642","0.022800000000000042","0.0378","0.0078","1112.888888888889","0.0002464211230909702","0","0.0002464211230909702","0.0002464211230909702","8_9:0.007627042654995669","8_9:586.6666666666666","true"
"9","145.7366548263083","159.01656594947397","5.083081713731265","-0.3057086541354031","0.014900000000000024","0.0238","0.006","1112.888888888889","0.00016728098261970724","0","0.00016728098261970724","0.00016728098261970724","","","true"
