"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","398.89882477989653","431.2965307080907","4.655630952207779","-0.3110632460863657","0.0021999999999999797","0.0034","0.001","1244.4444444444443","0.00012507871422542464","0","0.00012507871422542464","0.00012507871422542464","0_14:0.010016423321302148;0_1:0.003478880162181147","0_14:561.7777777777777;0_1:561.7777777777777","true"
"1","386.21178120158316","180.00890008608093","4.534958156984512","-0.31302980539784336","0.0050000000000000044","0.0066","0.0034","1244.4444444444443","0.00011937265721678041","0","0.00011937265721678041","0.00011937265721678041","1_2:0.0090602154973978","1_2:561.7777777777777","true"
"2","342.5943572847407","140.17740586950478","4.680132500612754","-0.3092563684570482","0.0040000000000000036","0.0046","0.0034","1244.4444444444443","0.00009948717825242773","0","0.00009948717825242773","0.00009948717825242773","2_3:0.004054655893021147","2_3:561.7777777777777","true"
"3","220.18357020094996","147.19062243965837","4.606649343997237","-0.25135835423971303","0.008499999999999952","0.0124","0.0046","1244.4444444444443","0.00016493160720987255","0","0.00016493160720987255","0.00016493160720987255","","","true"
"4","96.43718821522255","103.49054904815523","4.462295507748354","-0.25507850560311957","0.06159999999999999","0.0816","0.0416","1244.4444444444443","0.0004883541290435765","0","0.0004883541290435765","0.0004883541290435765","4_15:0.01061817518214403;4_3:0.009072173257007682","4_15:561.7777777777777;4_3:561.7777777777777","true"
"5","267.91012470650935","324.7552980382357","4.426687807321431","-0.2804432142711162","0.01090000000000002","0.0108","0.011","1244.4444444444443","0.0001752777505755862","0","0.0001752777505755862","0.0001752777505755862","5_4:0.009848886739413865","5_4:561.7777777777777","true"
"6","235.16744484223852","168.38152299120847","4.640087992180777","-0.3108103399516748","0.017199999999999993","0.0334","0.001","1244.4444444444443","0.0005679488224482655","0","0.0005679488224482655","0.0005679488224482655","6_5:0.007137485730980081","6_5:561.7777777777777","true"
"7","287.7388438890699","334.85946475381525","4.475697998535223","-0.2813271220492828","0.00660000000000005","0.0112","0.002","1244.4444444444443","0.00016480712733894377","0","0.00016480712733894377","0.00016480712733894377","7_6:0.01757605458808051;7_8:0.007954682275335218","7_6:561.7777777777777;7_8:561.7777777777777","true"
"8","256.68194589558385","196.35431715677885","4.40186334912905","-0.25507427876459826","0.04959999999999998","0.0792","0.02","1244.4444444444443","0.00038541901680812213","0","0.00038541901680812213","0.00038541901680812213","8_9:0.032608015686647784","8_9:561.7777777777777","true"
"9","71.86901732002899","82.95123274902615","4.519006422134581","-0.29730654926594685","0.019100000000000006","0.031","0.0072","1244.4444444444443","0.000515650233293695","0","0.000515650233293695","0.000515650233293695","","","true"
"10","269.42788463706887","83.76876132179167","4.628368501791831","","0.00770000000000004","0.007","0.0084","1244.4444444444443","0.0001373652526774023","0","0.0001373652526774023","0.0001373652526774023","10_9:0.010992099316216197;10_11:0.007018980711982842","10_9:561.7777777777777;10_11:561.7777777777777","true"
"11","267.99214120384727","252.04442386408306","4.571517965160661","-0.31187801080194943","0.019100000000000006","0.0162","0.022","1244.4444444444443","0.0001941820230510475","0","0.0001941820230510475","0.0001941820230510475","11_12:0.007639788062429098","11_12:561.7777777777777","true"
"12","332.0938519021492","341.0177009503921","4.464332291414237","-0.3114335997689411","0.027599999999999958","0.0416","0.0136","1244.4444444444443","0.00041071568763215074","0","0.00041071568763215074","0.00041071568763215074","","","true"
"13","268.53674890729263","84.49466114194813","4.573362427219324","","0.0121","0.0128","0.0114","1244.4444444444443","0.00015602060214183814","0","0.00015602060214183814","0.00015602060214183814","13_12:0.00766322471114228","13_12:561.7777777777777","true"
"14","235.84536278403993","65.93906069688107","4.603983265219201","-0.3075149117337717","0.0049000000000000155","0.0072","0.0026","1244.4444444444443","0.0002898231737362364","0","0.0002898231737362364","0.0002898231737362364","14_18:0.011747898257105177","14_18:561.7777777777777","true"
"15","356.83214414690997","62.3727587019535","4.4960514332631165","-0.3235838974181829","0.021700000000000053","0.0258","0.0176","1244.4444444444443","0.0004576375407229286","0","0.0004576375407229286","0.0004576375407229286","","","true"
