"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","Gate time (ns)","Operational"
"0","229.62542305003055","71.21753628672103","0.14680000000000004","0.2918","0.0018","2100","0.0003230796311853027","0.0003230796311853027","0","0.0003230796311853027","0.0003230796311853027","0_1:0.0016935089922450464","0_1:68","true"
"1","172.5942387743732","246.20770953283252","0.0038000000000000256","0.0046","0.003","2100","0.0003144162796647442","0.0003144162796647442","0","0.0003144162796647442","0.0003144162796647442","1_2:0.0012794956524545265;1_0:0.0016935089922450464","1_2:68;1_0:68","true"
"2","413.36417829833937","435.8462617356558","0.021599999999999953","0.0346","0.0086","2100","0.0001333477944881279","0.0001333477944881279","0","0.0001333477944881279","0.0001333477944881279","2_1:0.0012794956524545265;2_3:0.002236688746379084","2_1:68;2_3:68","true"
"3","362.81498596166733","297.98442472954827","0.005099999999999993","0.0072","0.003","2100","0.0001746404094074074","0.0001746404094074074","0","0.0001746404094074074","0.0001746404094074074","3_16:0.00273553639021476;3_2:0.002236688746379084;3_4:0.002428650744276145","3_16:68;3_2:68;3_4:80","true"
"4","206.77931173344749","296.5792044794544","0.03249999999999997","0.0608","0.0042","2100","0.000292289514502707","0.000292289514502707","0","0.000292289514502707","0.000292289514502707","4_3:0.002428650744276145;4_5:0.0016576883941502862","4_3:80;4_5:68","true"
"5","302.4556983534712","350.0093762634594","0.030299999999999994","0.025","0.0356","2100","0.00012384820583747006","0.00012384820583747006","0","0.00012384820583747006","0.00012384820583747006","5_6:0.0015456869366828885;5_4:0.0016576883941502862","5_6:68;5_4:68","true"
"6","348.4675812426456","241.46775279786155","0.0021999999999999797","0.0036","0.0008","2100","0.00020046799517673485","0.00020046799517673485","0","0.00020046799517673485","0.00020046799517673485","6_5:0.0015456869366828885;6_7:0.0009757233525870268","6_5:68;6_7:68","true"
"7","315.9352117283914","118.44015779894701","0.03810000000000002","0.0346","0.0416","2100","0.0002169644175009598","0.0002169644175009598","0","0.0002169644175009598","0.0002169644175009598","7_17:0.0014125363118317469;7_6:0.0009757233525870268;7_8:0.0016445934059078904","7_17:68;7_6:68;7_8:80","true"
"8","134.71836147053511","155.96205111016909","0.0028000000000000247","0.0052","0.0004","2100","0.00010785903791536807","0.00010785903791536807","0","0.00010785903791536807","0.00010785903791536807","8_9:0.0019295944752755756;8_7:0.0016445934059078904","8_9:68;8_7:80","true"
"9","236.4683001394764","129.55479416985932","0.05989999999999995","0.0446","0.0752","2100","0.00016941399754934249","0.00016941399754934249","0","0.00016941399754934249","0.00016941399754934249","9_8:0.0019295944752755756;9_10:0.0021078541670970508","9_8:68;9_10:68","true"
