"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","416.94492305374285","90.29328738488553","4.786312026177887","-0.2852566341849986","0.025900000000000034","0.0156","0.0362","835.5555555555555","0.0003615145787512183","0","0.0003615145787512183","0.0003615145787512183","","","true"
"1","425.4069957834353","385.9868865709997","4.834497451058296","-0.3106941478695178","0.011399999999999966","0.0134","0.0094","835.5555555555555","0.0006234826583171694","0","0.0006234826583171694","0.0006234826583171694","1_0:0.007006387622670668","1_0:593.7777777777777","true"
"2","236.23249307490087","302.5659693772183","4.713585784737397","-0.3126886766479872","0.03639999999999999","0.0044","0.0684","835.5555555555555","0.00011984014992872233","0","0.00011984014992872233","0.00011984014992872233","2_1:0.007313968112697133","2_1:593.7777777777777","true"
"3","246.77104078573083","279.5632409559953","4.859046625595072","-0.31034359454113686","0.008000000000000007","0.012","0.004","835.5555555555555","0.0003518331061576692","0","0.0003518331061576692","0.0003518331061576692","3_2:0.008299106281004942;3_4:0.0056465900926288","3_2:593.7777777777777;3_4:593.7777777777777","true"
"4","556.6636139490696","568.7161089230053","4.801202213531255","-0.3111189159174216","0.017199999999999993","0.0088","0.0256","835.5555555555555","0.00023578883027354283","0","0.00023578883027354283","0.00023578883027354283","4_15:1","4_15:593.7777777777777","true"
"5","283.90446337589674","331.7295845355772","4.900568165173145","-0.30882064699882933","0.025599999999999956","0.026","0.0252","835.5555555555555","0.00011591492660556059","0","0.00011591492660556059","0.00011591492660556059","5_4:0.0055404446799625084;5_6:0.003527539299931215","5_4:593.7777777777777;5_6:593.7777777777777","true"
"6","400.6754119086495","264.8347549128845","4.947819327613607","-0.307623639937622","0.01870000000000005","0.0174","0.02","835.5555555555555","0.0001267427646643273","0","0.0001267427646643273","0.0001267427646643273","6_7:0.004698561963557446","6_7:593.7777777777777","true"
"7","430.8823576473068","208.05303882177662","4.828724998225708","-0.3105046772851977","0.010000000000000009","0.0124","0.0076","835.5555555555555","0.0001906146158692117","0","0.0001906146158692117","0.0001906146158692117","7_8:0.006852393895792563","7_8:593.7777777777777","true"
"8","565.7357563731684","74.50826072412403","4.7447349281927576","-0.3114301472923753","0.013299999999999979","0.005","0.0216","835.5555555555555","0.0001158373927471768","0","0.0001158373927471768","0.0001158373927471768","8_16:0.004823923786108547","8_16:593.7777777777777","true"
"9","432.1993255997781","55.14274629955209","4.833299021371565","-0.3104450030412055","0.011800000000000033","0.0092","0.0144","835.5555555555555","0.0002975860819075905","0","0.0002975860819075905","0.0002975860819075905","9_8:0.006072738949162743;9_10:0.015115377256630258","9_8:593.7777777777777;9_10:593.7777777777777","true"
"10","247.73117484492457","320.3685777833652","4.9421875948568035","-0.30830782839576215","0.013499999999999956","0.0186","0.0084","835.5555555555555","0.00012396469613021592","0","0.00012396469613021592","0.00012396469613021592","","","true"
