"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","411.4148899747483","295.25069906658376","4.94046211990795","-0.3071224923742767","0.0046000000000000485","0.0024","0.0068","1112.888888888889","0.00012487901045145293","0","0.00012487901045145293","0.00012487901045145293","0_14:0.008507527876555093;0_1:0.0034627446541662665","0_14:664.8888888888888;0_1:664.8888888888888","true"
"1","251.0921148278496","110.19559015065123","4.767344545554149","-0.3087940073441283","0.005800000000000027","0.005","0.0066","1112.888888888889","0.00010822827871911197","0","0.00010822827871911197","0.00010822827871911197","","","true"
"2","191.14404153345697","31.140044610128268","4.829709916752813","-0.30918224679341666","0.010099999999999998","0.0176","0.0026","1112.888888888889","0.00028077859129476947","0","0.00028077859129476947","0.00028077859129476947","2_1:0.005663049440127493","2_1:664.8888888888888","true"
"3","27.8346448264924","48.83616313425433","4.744765648027618","-0.31236647725356137","0.014800000000000035","0.0246","0.005","1112.888888888889","0.021932128102649707","0","0.021932128102649707","0.021932128102649707","3_2:0.09322915615449301;3_4:0.03907144099714155","3_2:664.8888888888888;3_4:664.8888888888888","true"
"4","395.37266374301856","23.671095699536277","4.866682434325099","-0.30809510464193834","0.009199999999999986","0.0076","0.0108","1112.888888888889","0.00031923994432966944","0","0.00031923994432966944","0.00031923994432966944","4_15:0.007877454416419044;4_5:0.008901113912895359","4_15:664.8888888888888;4_5:664.8888888888888","true"
"5","120.93967284172074","187.7917394869078","4.785656643612362","-0.3105475082998897","0.0033999999999999586","0.0054","0.0014","1112.888888888889","0.0002620825605064353","0","0.0002620825605064353","0.0002620825605064353","5_6:0.016590913116002554","5_6:664.8888888888888","true"
"6","172.12010200357918","26.172711913214627","4.718309564490286","-0.30988716717282644","0.01419999999999999","0.0134","0.015","1112.888888888889","0.0014284309867568321","0","0.0014284309867568321","0.0014284309867568321","","","true"
"7","195.92470640897164","158.5841483018452","4.8552926633824","-0.30853549451824164","0.005099999999999993","0.0058","0.0044","1112.888888888889","0.00015703890087122958","0","0.00015703890087122958","0.00015703890087122958","7_6:0.012523654150948471;7_8:0.005262158332147604","7_6:664.8888888888888;7_8:664.8888888888888","true"
"8","347.55531068584446","146.44264835891798","4.777750119174975","-0.3096642996560341","0.008000000000000007","0.0076","0.0084","1112.888888888889","0.0003120105089521868","0","0.0003120105089521868","0.0003120105089521868","8_9:0.004961200044767411","8_9:664.8888888888888","true"
"9","490.4327936991174","139.48840076010933","4.573002973309782","-0.312497510688557","0.022199999999999998","0.0166","0.0278","1112.888888888889","0.000221047905568197","0","0.000221047905568197","0.000221047905568197","","","true"
"10","285.73515438661036","123.30952317208558","4.659105570224772","-0.3119403116502601","0.030000000000000027","0.0534","0.0066","1112.888888888889","0.00019160568557789507","0","0.00019160568557789507","0.00019160568557789507","10_9:0.005967441204890289;10_11:0.006562540222913443","10_9:664.8888888888888;10_11:664.8888888888888","true"
"11","74.79856617028909","140.2406305305281","4.588817850912227","-0.28549382802049705","0.05600000000000005","0.0722","0.0398","1112.888888888889","0.00021026809315281532","0","0.00021026809315281532","0.00021026809315281532","","","true"
"12","296.71697278260535","92.49364870134399","4.544904987543736","-0.3153766012770977","0.045399999999999996","0.0496","0.0412","1112.888888888889","0.0035947614511142425","0","0.0035947614511142425","0.0035947614511142425","12_11:0.011067113649208787","12_11:664.8888888888888","true"
"13","193.48297732561727","84.48278971661415","4.616438680862421","-0.3115494396921699","0.0046000000000000485","0.0058","0.0034","1112.888888888889","0.00019996978885931469","0","0.00019996978885931469","0.00019996978885931469","13_12:0.00602188569675377","13_12:664.8888888888888","true"
"14","208.15556324577943","251.29044735998048","4.847414210864941","-0.307817528125657","0.0048000000000000265","0.0066","0.003","1112.888888888889","0.0005623017306776299","0","0.0005623017306776299","0.0005623017306776299","","","true"
"15","160.72146246341038","69.605809288062","4.805991380990685","-0.2752811052842956","0.17789999999999995","0.1664","0.1894","1112.888888888889","0.0002708106634075971","0","0.0002708106634075971","0.0002708106634075971","","","true"
"16","143.8514315724715","51.53804449146446","4.874741372447762","-0.30802239449549323","0.01319999999999999","0.0098","0.0166","1112.888888888889","0.0003408836092321637","0","0.0003408836092321637","0.0003408836092321637","16_8:0.012269986026185342","16_8:664.8888888888888","true"
"17","433.08130631948706","233.39165070437608","4.67037812958531","-0.3121295591812491","0.09750000000000003","0.0486","0.1464","1112.888888888889","0.00047058768224793416","0","0.00047058768224793416","0.00047058768224793416","17_12:0.019993205628685395;17_30:0.017671955120925453","17_12:664.8888888888888;17_30:664.8888888888888","true"
"18","457.66397159887543","319.3181028498618","4.888780544478621","-0.3083072492797884","0.007800000000000029","0.0042","0.0114","1112.888888888889","0.00013764701334927402","0","0.00013764701334927402","0.00013764701334927402","18_14:0.006306870482631344","18_14:664.8888888888888","true"
"19","377.8797852838863","16.632223464068744","4.813372151172886","-0.30873609678108616","0.009299999999999975","0.0146","0.004","1112.888888888889","0.0006028629185264835","0","0.0006028629185264835","0.0006028629185264835","19_18:0.010666053209701487","19_18:664.8888888888888","true"
"20","315.1736436250678","385.57006888308183","4.65360314806191","-0.3119365005854154","0.009099999999999997","0.0102","0.008","1112.888888888889","0.00016284173634820322","0","0.00016284173634820322","0.00016284173634820322","20_19:0.02593505922061179;20_21:0.014317289083542128","20_19:664.8888888888888;20_21:664.8888888888888","true"
"21","226.5874465966363","87.2798324090269","4.785326407533253","","0.03080000000000005","0.0198","0.0418","1112.888888888889","0.0006974283195542119","0","0.0006974283195542119","0.0006974283195542119","21_22:0.01098674887643683","21_22:664.8888888888888","true"
"22","326.40029899264545","159.0068729527929","4.837342887326395","-0.30925453268853004","0.11909999999999998","0.1128","0.1254","1112.888888888889","0.00029687353951911527","0","0.00029687353951911527","0.00029687353951911527","22_15:0.007007104961386679","22_15:664.8888888888888","true"
"23","386.54890837135184","243.97399648945927","4.7634011489405115","-0.3093518780426528","0.014700000000000046","0.0174","0.012","1112.888888888889","0.00025697483787188975","0","0.00025697483787188975","0.00025697483787188975","23_22:0.006037249804357436;23_24:0.006237834030885042","23_22:664.8888888888888;23_24:664.8888888888888","true"
"24","276.49197430626623","32.05476796598699","4.688784454700464","-0.3103894657922276","0.015000000000000013","0.0188","0.0112","1112.888888888889","0.00019252847476819855","0","0.00019252847476819855","0.00019252847476819855","24_25:0.0069745003910562375","24_25:664.8888888888888","true"
"25","130.94843065512953","167.22485391431593","4.912984426039037","-0.3077554695460178","0.008499999999999952","0.0092","0.0078","1112.888888888889","0.00023103715047705347","0","0.00023103715047705347","0.00023103715047705347","25_26:0.006721862384568622","25_26:664.8888888888888","true"
"26","286.42689081762234","196.10498900021312","4.782330733469243","","0.0050000000000000044","0.0062","0.0038","1112.888888888889","0.0003280772654671087","0","0.0003280772654671087","0.0003280772654671087","26_16:0.01782069677708914","26_16:664.8888888888888","true"
"27","186.50373872688093","26.789821963870327","4.969874249259985","-0.3063944119801059","0.0050000000000000044","0.005","0.005","1112.888888888889","0.0002471734181784493","0","0.0002471734181784493","0.0002471734181784493","27_26:0.006742864298128232;27_28:0.007049398522946421","27_26:664.8888888888888;27_28:664.8888888888888","true"
"28","161.45823616343716","209.7732719183823","4.750033463961791","-0.31093227429824444","0.00990000000000002","0.012","0.0078","1112.888888888889","0.0002456072714474821","0","0.0002456072714474821","0.0002456072714474821","28_35:0.005647603308309435","28_35:664.8888888888888","true"
"29","264.23194446878097","234.92081062996107","4.807814845494134","-0.30878513581173844","0.007499999999999951","0.011","0.004","1112.888888888889","0.0001618963744143955","0","0.0001618963744143955","0.0001618963744143955","29_28:0.006032942154290344","29_28:664.8888888888888","true"
"30","197.2683946439325","113.8205008682558","4.63080489402418","-0.2966923631620845","0.14","0.1464","0.1336","1112.888888888889","0.000384175943524344","0","0.000384175943524344","0.000384175943524344","30_29:0.010852068912818563","30_29:664.8888888888888","true"
"31","419.2194892191677","243.53691996271195","4.691188352852153","-0.31180994258040834","0.028699999999999948","0.048","0.0094","1112.888888888889","0.0002137763641257207","0","0.0002137763641257207","0.0002137763641257207","31_30:0.004952053393520783;31_32:0.006954231278689799","31_30:664.8888888888888;31_32:664.8888888888888","true"
"32","393.45554748367636","324.7157909848479","4.753578832768308","-0.31019005206698447","0.00660000000000005","0.0076","0.0056","1112.888888888889","0.00015088588585172085","0","0.00015088588585172085","0.00015088588585172085","","","true"
"33","343.0727703089274","255.19243372058284","4.918352714156884","-0.30713100799364834","0.009299999999999975","0.0044","0.0142","1112.888888888889","0.00023268252878669843","0","0.00023268252878669843","0.00023268252878669843","33_20:0.005203854055657098;33_39:0.003732134802025333","33_20:664.8888888888888;33_39:664.8888888888888","true"
"34","195.9233454013309","151.69629461469688","4.938186308016532","-0.30704200709033247","0.024700000000000055","0.0072","0.0422","1112.888888888889","0.00016827595443125236","0","0.00016827595443125236","0.00016827595443125236","34_24:0.009880271528114576","34_24:664.8888888888888","true"
"35","252.6492932748979","82.73903753852595","4.706013352768744","","0.021700000000000053","0.0252","0.0182","1112.888888888889","0.00030542655849955306","0","0.00030542655849955306","0.00030542655849955306","","","true"
"36","270.0050554848528","303.38442883326377","4.920801041923757","-0.306850238742536","0.014100000000000001","0.021","0.0072","1112.888888888889","0.00014381712730063693","0","0.00014381712730063693","0.00014381712730063693","36_51:0.006552496151933124;36_32:0.007724581779550432","36_51:664.8888888888888;36_32:664.8888888888888","true"
"37","172.52721548998056","40.559161528325994","4.951582625710148","","0.0046000000000000485","0.005","0.0042","1112.888888888889","0.0002890406097396057","0","0.0002890406097396057","0.0002890406097396057","37_52:0.006612427653837988","37_52:664.8888888888888","true"
"38","222.22092619817474","211.40742347357778","4.894894847560392","-0.3076117904779178","0.0046000000000000485","0.0068","0.0024","1112.888888888889","0.00016813173069807317","0","0.00016813173069807317","0.00016813173069807317","38_37:0.0060436340537780575","38_37:664.8888888888888","true"
"39","368.77713001808445","243.3141757518446","4.805463917218647","-0.30976705097197654","0.015199999999999991","0.01","0.0204","1112.888888888889","0.00011357060753944452","0","0.00011357060753944452","0.00011357060753944452","39_38:0.005624828258267711","39_38:664.8888888888888","true"
"40","490.81458649231564","135.23119396809207","4.6523250738005535","-0.3116412786595027","0.006000000000000005","0.0076","0.0044","1112.888888888889","0.0003559151383278752","0","0.0003559151383278752","0.0003559151383278752","40_39:0.0040001386551424545","40_39:664.8888888888888","true"
"41","163.63633331920758","142.61383689478248","4.866541639414643","-0.3087372809553465","0.013900000000000023","0.0144","0.0134","1112.888888888889","0.00028998220402973374","0","0.00028998220402973374","0.00028998220402973374","41_40:0.00710558286638327","41_40:664.8888888888888","true"
"42","180.65080457536206","111.53048339070735","4.929269875394732","-0.2945092592466625","0.020000000000000018","0.018","0.022","1112.888888888889","0.0003845021579813594","0","0.0003845021579813594","0.0003845021579813594","42_41:0.0081891942414892","42_41:664.8888888888888","true"
"43","381.99097392390246","259.24974870999955","4.737858038319464","-0.3103134165804193","0.014800000000000035","0.0252","0.0044","1112.888888888889","0.0009043856914313534","0","0.0009043856914313534","0.0009043856914313534","43_34:0.01625983466348621;43_42:0.015493711161308044;43_44:0.016327676726783036","43_34:664.8888888888888;43_42:664.8888888888888;43_44:664.8888888888888","true"
"44","449.6715643300286","478.35899931507305","4.787208736139073","-0.3112966116094734","0.013700000000000045","0.0124","0.015","1112.888888888889","0.00017021542858250147","0","0.00017021542858250147","0.00017021542858250147","44_45:0.03196253395565038","44_45:664.8888888888888","true"
"45","290.9190152093778","248.69135610204182","4.615460990469967","","0.013599999999999945","0.02","0.0072","1112.888888888889","0.0004570027065459338","0","0.0004570027065459338","0.0004570027065459338","","","true"
"46","465.1062510533742","302.81712393913523","4.779845897495598","-0.3097950038815493","0.0041999999999999815","0.0058","0.0026","1112.888888888889","0.00028997878336981816","0","0.00028997878336981816","0.00028997878336981816","46_45:0.004332759514654783","46_45:664.8888888888888","true"
"47","166.38666216174272","77.2690594817791","4.876620783707153","-0.3085227279843537","0.010000000000000009","0.0082","0.0118","1112.888888888889","0.0002716518753333204","0","0.0002716518753333204","0.0002716518753333204","47_48:0.013426132114667033;47_35:0.008087646594575337;47_46:0.007352574198995904","47_48:664.8888888888888;47_35:664.8888888888888;47_46:664.8888888888888","true"
"48","180.12357774085083","87.60260066253527","4.66031986326896","-0.2965413365336699","0.03159999999999996","0.019","0.0442","1112.888888888889","0.0007998129914127318","0","0.0007998129914127318","0.0007998129914127318","","","true"
"49","187.29415816065614","141.19356836201186","4.747164774170911","-0.31018015073649313","0.0034999999999999476","0.0048","0.0022","1112.888888888889","0.00018683685833756288","0","0.00018683685833756288","0.00018683685833756288","49_48:0.012124393605378259;49_50:0.013207310529761596","49_48:664.8888888888888;49_50:664.8888888888888","true"
"50","170.15099294265045","62.651758137891846","4.833920110169208","-0.3090661178739506","0.01880000000000004","0.0202","0.0174","1112.888888888889","0.0005080341884049325","0","0.0005080341884049325","0.0005080341884049325","","","true"
"51","174.842937488753","214.3353088284746","4.761511925805083","-0.3094621714295766","0.01090000000000002","0.0144","0.0074","1112.888888888889","0.0001938594661063003","0","0.0001938594661063003","0.0001938594661063003","51_50:0.017170424300880116","51_50:664.8888888888888","true"
"52","324.55812274359033","331.94523641995875","4.834464200962535","-0.30786008793622777","0.01100000000000001","0.0108","0.0112","1112.888888888889","0.00028198909758867056","0","0.00028198909758867056","0.00028198909758867056","52_56:0.01476182569469836","52_56:664.8888888888888","true"
"53","150.8822777273151","109.57740874737237","4.774395546001355","-0.30869698605117035","0.013700000000000045","0.0192","0.0082","1112.888888888889","0.0002699323012189547","0","0.0002699323012189547","0.0002699323012189547","53_41:0.005238091734840383;53_60:0.005544717526695275","53_41:664.8888888888888;53_60:664.8888888888888","true"
"54","341.5855357038779","148.70218023439938","4.787930329931484","-0.30905982004889765","0.006800000000000028","0.0078","0.0058","1112.888888888889","0.00019882779004715015","0","0.00019882779004715015","0.00019882779004715015","54_45:0.006028687858204845","54_45:664.8888888888888","true"
"55","344.467806198858","324.08395976562457","4.940978493243732","-0.307400339493916","0.01849999999999996","0.0202","0.0168","1112.888888888889","0.00010771499833968202","0","0.00010771499833968202","0.00010771499833968202","55_49:0.005634522102055395","55_49:664.8888888888888","true"
"56","213.73008459204374","152.44754485395174","4.8655633695935165","-0.3081891584869521","0.00770000000000004","0.0076","0.0078","1112.888888888889","0.00026739473716223084","0","0.00026739473716223084","0.00026739473716223084","","","true"
"57","240.46117822100362","218.45800992313787","4.930474980340674","-0.30660756202659056","0.019499999999999962","0.0184","0.0206","1112.888888888889","0.00024213666134263148","0","0.00024213666134263148","0.00024213666134263148","57_56:0.0059146307166906276;57_58:0.007577644331493688","57_56:664.8888888888888;57_58:664.8888888888888","true"
"58","320.51853940282405","156.46358782427168","4.886290711476114","-0.30847135487212324","0.013000000000000012","0.0192","0.0068","1112.888888888889","0.0003827656743115455","0","0.0003827656743115455","0.0003827656743115455","58_71:0.006228044033874558;58_59:0.007334681197961573","58_71:664.8888888888888;58_59:664.8888888888888","true"
"59","359.7837271346914","33.72330450076057","4.8107332511704595","-0.3096718542458166","0.005299999999999971","0.0062","0.0044","1112.888888888889","0.00016180979491896082","0","0.00016180979491896082","0.00016180979491896082","59_60:0.00631895419467321","59_60:664.8888888888888","true"
"60","328.6998647134574","327.15734535575","4.715408933767672","-0.30973873856813794","0.009800000000000031","0.0096","0.01","1112.888888888889","0.0002525335543565899","0","0.0002525335543565899","0.0002525335543565899","","","true"
"61","244.95158041055623","143.9104723075264","4.796225705493939","-0.3096124676868905","0.0036000000000000476","0.0056","0.0016","1112.888888888889","0.00029672759767840193","0","0.00029672759767840193","0.00029672759767840193","61_60:0.007752997598466149","61_60:664.8888888888888","true"
"62","349.0068500470847","100.49577357216955","4.7384150947731","-0.3096270045483549","0.0050000000000000044","0.006","0.004","1112.888888888889","0.00010899193580901433","0","0.00010899193580901433","0.00010899193580901433","62_72:0.010461061827564816;62_61:0.005132813615653625;62_63:0.0064545194731722155","62_72:664.8888888888888;62_61:664.8888888888888;62_63:664.8888888888888","true"
"63","147.86429799379619","171.6543237833389","4.888170360105014","-0.30788890589728085","0.00770000000000004","0.0086","0.0068","1112.888888888889","0.0002085622349352421","0","0.0002085622349352421","0.0002085622349352421","","","true"
"64","112.77549891174743","159.7257364743223","4.982649019589877","-0.30688771709555496","0.005700000000000038","0.0078","0.0036","1112.888888888889","0.00023203964860643022","0","0.00023203964860643022","0.00023203964860643022","64_54:0.0071565717545377106;64_63:0.007916461342579062;64_65:0.006767983466751476","64_54:664.8888888888888;64_63:664.8888888888888;64_65:664.8888888888888","true"
"65","159.94200231090858","252.39392911636816","4.802676247797494","-0.30860329993106445","0.008900000000000019","0.0078","0.01","1112.888888888889","0.0002762701652249017","0","0.0002762701652249017","0.0002762701652249017","65_66:0.007272362471110488","65_66:664.8888888888888","true"
"66","266.5808269580436","279.3577493573922","5.002281704584237","-0.30639450849766053","0.019000000000000017","0.0044","0.0336","1112.888888888889","0.00014080472753296686","0","0.00014080472753296686","0.00014080472753296686","66_73:0.0050339792586257814","66_73:664.8888888888888","true"
"67","290.0651943850586","192.53560048614145","4.926495854337749","-0.3075262804143739","0.0034999999999999476","0.0036","0.0034","1112.888888888889","0.00031933116696709576","0","0.00031933116696709576","0.00031933116696709576","67_66:0.007517410500795657","67_66:664.8888888888888","true"
"68","288.2770206418811","282.70152894162464","4.8466571530296605","-0.3090390437216194","0.009000000000000008","0.0126","0.0054","1112.888888888889","0.00016663948208336113","0","0.00016663948208336113","0.00016663948208336113","68_67:0.007045233506637466;68_69:0.004163409734592061;68_55:0.004977049717017429","68_67:664.8888888888888;68_69:664.8888888888888;68_55:664.8888888888888","true"
"69","240.0335119796752","319.39006403253563","4.777590136482922","-0.30893996511391497","0.01200000000000001","0.0132","0.0108","1112.888888888889","0.0001958894366774491","0","0.0001958894366774491","0.0001958894366774491","69_70:0.04356284024033755","69_70:664.8888888888888","true"
"70","314.74743094016657","80.51951840724475","4.704087603629881","-0.3107536379044262","0.02749999999999997","0.0486","0.0064","1112.888888888889","0.002632557378597226","0","0.002632557378597226","0.002632557378597226","70_74:0.024273720411838146","70_74:664.8888888888888","true"
"71","392.59963559490564","375.37399470427437","4.758118355709985","-0.3097301722471254","0.0032999999999999696","0.0056","0.001","1112.888888888889","0.00013058911859887244","0","0.00013058911859887244","0.00013058911859887244","","","true"
"72","308.8786252125661","60.942681175561034","4.940421724053678","-0.3069232030379296","0.011900000000000022","0.0102","0.0136","1112.888888888889","0.000693192075545766","0","0.000693192075545766","0.000693192075545766","72_81:0.01823086263429094","72_81:664.8888888888888","true"
"73","282.1560312197948","215.04977756105393","4.763547861735138","-0.3102163836954722","0.010499999999999954","0.012","0.009","1112.888888888889","0.00019083570274467366","0","0.00019083570274467366","0.00019083570274467366","73_85:0.00468535974502024","73_85:664.8888888888888","true"
"74","205.32567842943013","94.05888944223268","4.76502429316715","","0.01100000000000001","0.0088","0.0132","1112.888888888889","0.0005612799736687315","0","0.0005612799736687315","0.0005612799736687315","74_89:0.03239256026623652","74_89:664.8888888888888","true"
"75","294.7306112606896","250.5677166759797","4.845759387533085","-0.30763457512529135","0.021599999999999953","0.0208","0.0224","1112.888888888889","0.00019566135599625496","0","0.00019566135599625496","0.00019566135599625496","75_90:0.008189413518763844","75_90:664.8888888888888","true"
"76","350.4605803549731","237.39761218727682","4.731179400046881","-0.3099446481482637","0.010199999999999987","0.008","0.0124","1112.888888888889","0.00026720727886537924","0","0.00026720727886537924","0.00026720727886537924","76_75:0.0073003993699785885;76_77:0.009183139887172315","76_75:664.8888888888888;76_77:664.8888888888888","true"
"77","413.73327985502993","219.0524287880146","4.817440712580683","","0.005800000000000027","0.0058","0.0058","1112.888888888889","0.00021687058128045414","0","0.00021687058128045414","0.00021687058128045414","77_71:0.00642820582624512","77_71:664.8888888888888","true"
"78","345.0837433781158","209.55701039130184","4.722973339471743","-0.3024187522249324","0.055400000000000005","0.035","0.0758","1112.888888888889","0.00021865007109047924","0","0.00021865007109047924","0.00021865007109047924","78_77:0.007344693995142149","78_77:664.8888888888888","true"
"79","214.27019288969626","159.46914113620568","4.830041440256509","-0.30878029783669925","0.016800000000000037","0.0194","0.0142","1112.888888888889","0.00020006570672267832","0","0.00020006570672267832","0.00020006570672267832","79_78:0.010189849024937442","79_78:664.8888888888888","true"
"80","155.92693240017505","23.179769629144925","4.739405169189576","-0.3097843877234872","0.010700000000000043","0.0126","0.0088","1112.888888888889","0.0012401512437244559","0","0.0012401512437244559","0.0012401512437244559","80_79:0.009527529095298942","80_79:664.8888888888888","true"
"81","181.8997209039782","238.7699733691133","4.883875109431365","-0.30842589543830473","0.0049000000000000155","0.0084","0.0014","1112.888888888889","0.00023339090309247563","0","0.00023339090309247563","0.00023339090309247563","81_80:0.03687011688132924","81_80:664.8888888888888","true"
"82","273.72136544792903","270.885801460771","4.938825476063018","-0.30759263933832587","0.0028000000000000247","0.0042","0.0014","1112.888888888889","0.0011258733488111964","0","0.0011258733488111964","0.0011258733488111964","82_81:0.010748285039206967","82_81:664.8888888888888","true"
"83","243.56284560443413","261.33332786457765","4.791998425969327","-0.3099897587108672","0.005900000000000016","0.0074","0.0044","1112.888888888889","0.00021567566784637767","0","0.00021567566784637767","0.00021567566784637767","83_82:0.011876045040403349;83_84:0.016594287907475497","83_82:664.8888888888888;83_84:664.8888888888888","true"
"84","197.28571937599392","211.88418639958974","5.035105567538763","-0.3050280015942386","0.02849999999999997","0.02","0.037","1112.888888888889","0.0009020040407605173","0","0.0009020040407605173","0.0009020040407605173","84_85:0.00794736327217907","84_85:664.8888888888888","true"
"85","273.49474543715434","172.95851596561926","4.815276868783737","-0.3094350334719248","0.008299999999999974","0.0064","0.0102","1112.888888888889","0.0001738867365890836","0","0.0001738867365890836","0.0001738867365890836","","","true"
