"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","550.6720335394839","110.67594386348297","4.635662846425661","-0.3132760394092362","0.006299999999999972","0.0046","0.008","1216","0.00024142611050558598","0","0.00024142611050558598","0.00024142611050558598","","","true"
"1","425.4813449530278","339.39645748308","4.736296869971339","-0.3129180725120383","0.028299999999999992","0.0422","0.0144","1216","0.00013961603985106045","0","0.00013961603985106045","0.00013961603985106045","1_0:0.015114795326655966;1_2:0.004811113958774066","1_0:533.3333333333333;1_2:533.3333333333333","true"
"2","295.65774059717813","219.72688647894907","4.819178499281037","-0.3112951524093254","0.01770000000000005","0.0186","0.0168","1216","0.0003445665700750236","0","0.0003445665700750236","0.0003445665700750236","","","true"
"3","305.4692671854866","305.5131785400764","4.747182082348841","-0.3111534699659636","0.011700000000000044","0.01","0.0134","1216","0.0002711160522966401","0","0.0002711160522966401","0.0002711160522966401","3_2:0.007704139990053538","3_2:533.3333333333333","true"
"4","244.69025386526747","230.7854290863738","4.787874618691494","-0.31094540176555985","0.03180000000000005","0.0472","0.0164","1216","0.00023090012105402214","0","0.00023090012105402214","0.00023090012105402214","4_15:0.007018449683402012;4_3:0.007524526550303612","4_15:533.3333333333333;4_3:533.3333333333333","true"
"5","258.8416942025865","121.85345079827914","4.850837438806149","-0.31056606217183785","0.05459999999999998","0.0228","0.0864","1216","0.0002408626534295577","0","0.0002408626534295577","0.0002408626534295577","5_4:0.008231198306624776","5_4:533.3333333333333","true"
"6","121.81780292083424","41.63219000816509","4.8995542684000535","-0.3090557835234433","0.10389999999999999","0.1346","0.0732","1216","0.0031634355987717987","0","0.0031634355987717987","0.0031634355987717987","6_5:0.015635453530872784","6_5:533.3333333333333","true"
"7","153.79264376958437","19.408251133175046","4.755796861500931","-0.31100390518358323","0.024800000000000044","0.0368","0.0128","1216","0.0009928174709247601","0","0.0009928174709247601","0.0009928174709247601","7_6:0.04674769519203051;7_8:0.01322130413229447","7_6:533.3333333333333;7_8:533.3333333333333","true"
"8","410.5289299472052","16.905736186047267","4.812595340291288","-0.31334511346081884","0.0817","0.1098","0.0536","1216","0.00042946357313978817","0","0.00042946357313978817","0.00042946357313978817","8_9:0.012222146904173309","8_9:533.3333333333333","true"
"9","284.5264734131259","67.36898936643425","4.638198814237326","-0.29264088813258476","0.03739999999999999","0.0508","0.024","1216","0.00035161806833741287","0","0.00035161806833741287","0.00035161806833741287","","","true"
"10","284.9907087716728","199.5097836218758","4.804388478637297","-0.31122742580861","0.00649999999999995","0.0076","0.0054","1216","0.00032830909856590115","0","0.00032830909856590115","0.00032830909856590115","10_9:0.00869398793485357;10_11:0.006361808858824286","10_9:533.3333333333333;10_11:533.3333333333333","true"
"11","379.23872555296686","78.8061812898635","4.743312140873306","-0.31179417408967897","0.008499999999999952","0.0104","0.0066","1216","0.00023751372291981457","0","0.00023751372291981457","0.00023751372291981457","11_12:0.00428540650835843","11_12:533.3333333333333","true"
"12","312.15648181162135","287.9230964147625","4.6259367630497845","-0.31372359565205904","0.02729999999999999","0.042","0.0126","1216","0.00015895378305157248","0","0.00015895378305157248","0.00015895378305157248","12_13:0.010465109710469322","12_13:533.3333333333333","true"
"13","397.72853043727514","282.90258115397404","4.556976802504636","-0.31377871528415735","0.038799999999999946","0.054","0.0236","1216","0.00012372722662918156","0","0.00012372722662918156","0.00012372722662918156","","","true"
"14","262.62408162006733","60.61400438151195","4.510048501832088","-0.3157712274724498","0.028800000000000048","0.0338","0.0238","1216","0.0003553014080627816","0","0.0003553014080627816","0.0003553014080627816","14_0:0.00782931855429242;14_18:0.017751017636273264","14_0:533.3333333333333;14_18:533.3333333333333","true"
"15","435.1961543151901","321.07089378273673","4.599052211585765","-0.32044986829453664","0.08579999999999999","0.0954","0.0762","1216","0.0002015678811857354","0","0.0002015678811857354","0.0002015678811857354","","","true"
"16","330.9368377222882","16.40736880584444","4.937433915435484","-0.3088315131283205","0.09570000000000001","0.0556","0.1358","1216","0.0013745055583943527","0","0.0013745055583943527","0.0013745055583943527","16_8:0.024389160665165527","16_8:533.3333333333333","true"
"17","471.41855661411654","74.08093441976325","4.752796046027558","-0.31153154230934604","0.014599999999999946","0.018","0.0112","1216","0.0005435525929427243","0","0.0005435525929427243","0.0005435525929427243","17_12:0.004955879731657564;17_30:0.004554362434961018","17_12:590.2222222222222;17_30:590.2222222222222","true"
"18","334.96442790898357","20.232330958541706","4.659441383854667","-0.2892599847835004","0.049799999999999955","0.0354","0.0642","1216","0.0003273346853400233","0","0.0003273346853400233","0.0003273346853400233","18_19:0.016259900065184768","18_19:533.3333333333333","true"
"19","559.3801525374813","82.36353324471848","4.820724754835776","-0.31198328628677313","0.04039999999999999","0.062","0.0188","1216","0.0004907984701862555","0","0.0004907984701862555","0.0004907984701862555","19_20:0.004633372434750871","19_20:533.3333333333333","true"
