"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","439.5179838906391","342.0563351611017","4.8313843527060305","-0.30860091520604865","0.022700000000000053","0.0402","0.0052","1600","0.0004437469771296739","0","0.0004437469771296739","0.0004437469771296739","0_14:0.007991789619890916","0_14:660","true"
"1","215.05934773621212","86.65044768072374","4.735433420311909","-0.3106735526140353","0.048900000000000055","0.0374","0.0604","1600","0.0003873263406619096","0","0.0003873263406619096","0.0003873263406619096","1_0:0.007441841840460678","1_0:660","true"
"2","232.9804574044538","76.5218383037547","4.86065450488858","-0.30815586785193605","0.05359999999999998","0.0148","0.0924","1600","0.0002724703898900639","0","0.0002724703898900639","0.0002724703898900639","2_1:0.008885105468502574;2_3:0.008731603250621334","2_1:660;2_3:660","true"
"3","267.8309374166354","99.79270689574018","4.68081603222143","-0.3117956042789839","0.012199999999999989","0.0152","0.0092","1600","0.000332628837439349","0","0.000332628837439349","0.000332628837439349","3_4:0.29012035449792756","3_4:660","true"
"4","372.4457813948012","243.2336247653662","4.847636737147288","-0.3089581979409952","0.025900000000000034","0.0414","0.0104","1600","0.007270416672841179","0","0.007270416672841179","0.007270416672841179","4_5:0.031170117624487542","4_5:660","true"
"5","275.2118745834632","150.9171753667715","4.716793945760977","-0.310577093532681","0.017199999999999993","0.0306","0.0038","1600","0.00012724366424627387","0","0.00012724366424627387","0.00012724366424627387","","","true"
"6","348.17729559002294","225.1820806280456","4.6364338543501065","-0.3106205490386331","0.015800000000000036","0.012","0.0196","1600","0.00009842076108177705","0","0.00009842076108177705","0.00009842076108177705","6_5:0.0032085491566836433;6_7:0.003919534428611704","6_5:660;6_7:660","true"
"7","482.5175067623704","73.1897749344395","4.756036222093366","-0.30909078313021016","0.01429999999999998","0.0192","0.0094","1600","0.00036000354928438264","0","0.00036000354928438264","0.00036000354928438264","7_8:0.007506342787907072","7_8:660","true"
"8","295.3707403143443","38.48982982033169","4.850733269064619","-0.3089940151149966","0.055499999999999994","0.0224","0.0886","1600","0.00023978744502763767","0","0.00023978744502763767","0.00023978744502763767","8_16:0.0054842567192633085","8_16:660","true"
"9","521.3208969153986","39.02060227374031","4.594466642583733","-0.31335701694782153","0.021499999999999964","0.021","0.022","1600","0.0001469062632624296","0","0.0001469062632624296","0.0001469062632624296","9_8:0.01473817652677939;9_10:0.003977461041193842","9_8:660;9_10:660","true"
"10","279.74172910666584","245.001049263943","4.722933880247955","-0.31036231695754807","0.022499999999999964","0.0234","0.0216","1600","0.0002533933115847141","0","0.0002533933115847141","0.0002533933115847141","","","true"
"11","342.9687485873238","66.44842225583385","4.623519141565644","-0.3054330870259268","0.015800000000000036","0.0138","0.0178","1600","0.000344552865257946","0","0.000344552865257946","0.000344552865257946","11_10:0.005669301487187833","11_10:660","true"
"12","458.320922277631","82.23654654025066","4.66488933181381","-0.31179147161747606","0.02939999999999998","0.032","0.0268","1600","0.00014230477086155704","0","0.00014230477086155704","0.00014230477086155704","12_13:0.0038765715595463213;12_17:0.007193491864798618;12_11:0.0056034212464134425","12_13:660;12_17:660;12_11:660","true"
"13","412.19245938337974","71.99170917315995","4.54756313490312","-0.31263942489957386","0.0040999999999999925","0.0038","0.0044","1600","0.00015660729194867754","0","0.00015660729194867754","0.00015660729194867754","","","true"
"14","163.06300109693598","54.89489300162799","4.946214079968067","-0.3068704872695069","0.07699999999999996","0.0626","0.0914","1600","0.0002674527704010306","0","0.0002674527704010306","0.0002674527704010306","14_18:0.04031872594737665","14_18:660","true"
"15","283.0600898146401","42.8250295633759","4.653395630435473","-0.3123903340927562","0.019299999999999984","0.0082","0.0304","1600","0.0006041411848403699","0","0.0006041411848403699","0.0006041411848403699","15_4:0.082425399871111;15_22:0.013147687363583849","15_4:660;15_22:660","true"
"16","476.8923579567173","228.99057284908776","4.606933241388129","-0.3113554066882175","0.010600000000000054","0.0106","0.0106","1600","0.00012062456668191818","0","0.00012062456668191818","0.00012062456668191818","","","true"
"17","327.11460976183594","257.8886205069818","4.897142536015629","-0.3069253529005603","0.011600000000000055","0.007","0.0162","1600","0.00018770464570978305","0","0.00018770464570978305","0.00018770464570978305","","","true"
