"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","RZZ error ","Gate time (ns)","Operational"
"0","195.85449274629445","143.5669797652103","0.127","0.1436","0.1104","1560","0.004094789472122109","0.004094789472122109","0","0.004094789472122109","0.004094789472122109","0_15:0.003185988646027066;0_1:0.0022187446711020853","0_15:0.0033698463699340653;0_1:0.0025372171276812072","0_15:68;0_1:68","true"
"1","294.5418347592892","192.16081872793634","0.04749999999999999","0.0328","0.0622","1560","0.00015657602189421814","0.00015657602189421814","0","0.00015657602189421814","0.00015657602189421814","1_2:0.0034072583680998247;1_0:0.0022187446711020853","1_2:1.64205808783624e-7;1_0:0.0025372171276812072","1_2:68;1_0:68","true"
"2","156.8790663192348","142.20289473905873","0.05889999999999995","0.0844","0.0334","1560","0.0003367896908831337","0.0003367896908831337","0","0.0003367896908831337","0.0003367896908831337","2_1:0.0034072583680998247;2_3:0.0021974260426417813","2_1:1.64205808783624e-7;2_3:0.004697209465711477","2_1:68;2_3:68","true"
"3","133.8086476641805","133.55139613427065","0.011199999999999988","0.0176","0.0048","1560","0.00020599895018817563","0.00020599895018817563","0","0.00020599895018817563","0.00020599895018817563","3_2:0.0021974260426417813;3_4:0.0026198926995731897","3_2:0.004697209465711477;3_4:0.0044110162001546604","3_2:68;3_4:68","true"
"4","169.3725639799099","252.68453271465364","0.040100000000000025","0.0492","0.031","1560","0.00016165909590927816","0.00016165909590927816","0","0.00016165909590927816","0.00016165909590927816","4_3:0.0026198926995731897;4_5:0.0033276637927285024;4_16:0.002950655557318854","4_3:0.0044110162001546604;4_5:0.003798940336631529;4_16:0.005270841971318885","4_3:68;4_5:68;4_16:80","true"
"5","200.24956606675642","163.63839747362502","0.007000000000000006","0.0088","0.0052","1560","0.00012738989707085577","0.00012738989707085577","0","0.00012738989707085577","0.00012738989707085577","5_6:0.002586191409770844;5_4:0.0033276637927285024","5_6:0.005485776198658421;5_4:0.003798940336631529","5_6:68;5_4:68","true"
"6","45.4035737553149","45.32652214370972","0.012800000000000034","0.022","0.0036","1560","0.00041696684502297277","0.00041696684502297277","0","0.00041696684502297277","0.00041696684502297277","6_5:0.002586191409770844;6_7:0.0034718358359299706","6_5:0.005485776198658421;6_7:0.007469997430580522","6_5:68;6_7:68","true"
"7","152.47378381849393","120.5703535674565","0.0353","0.0638","0.0068","1560","0.0006926750103222797","0.0006926750103222797","0","0.0006926750103222797","0.0006926750103222797","7_6:0.0034718358359299706;7_8:0.003565161607798545","7_6:0.007469997430580522;7_8:0.005932580536351123","7_6:68;7_8:68","true"
"8","181.66387198323818","227.22866106052228","0.04679999999999995","0.0596","0.034","1560","0.00025666624128409905","0.00025666624128409905","0","0.00025666624128409905","0.00025666624128409905","8_9:0.00334026430911763;8_17:0.003973448646343053;8_7:0.003565161607798545","8_9:0.0036637909929351786;8_17:0.00813320561890421;8_7:0.005932580536351123","8_9:68;8_17:108;8_7:68","true"
"9","122.37082907741757","113.47540558383382","0.026699999999999946","0.052","0.0014","1560","0.0004744526109868659","0.0004744526109868659","0","0.0004744526109868659","0.0004744526109868659","9_8:0.00334026430911763;9_10:0.0031153760617917137","9_8:0.0036637909929351786;9_10:0.005067334065787188","9_8:68;9_10:68","true"
"10","207.0081722878643","252.73271637896516","0.017199999999999993","0.0188","0.0156","1560","0.00021875481327164484","0.00021875481327164484","0","0.00021875481327164484","0.00021875481327164484","10_9:0.0031153760617917137;10_11:0.009765410211103248","10_9:0.005067334065787188;10_11:0.003725784111923397","10_9:68;10_11:68","true"
"11","110.05394741431533","123.45252438060147","0.010600000000000054","0.016","0.0052","1560","0.0002085661579110241","0.0002085661579110241","0","0.0002085661579110241","0.0002085661579110241","11_10:0.009765410211103248;11_12:1","11_10:0.003725784111923397;11_12:1","11_10:68;11_12:68","true"
"12","305.8673249291567","318.75731344928494","0.02100000000000002","0.0196","0.0224","1560","0.00014201349450148807","0.00014201349450148807","0","0.00014201349450148807","0.00014201349450148807","12_18:0.002899570812062102;12_13:1;12_11:1","12_18:1;12_13:1;12_11:1","12_18:68;12_13:68;12_11:68","true"
"13","217.0066214938567","220.99314725145996","0.011700000000000044","0.0152","0.0082","1560","0.000499291510117258","0.000499291510117258","0","0.000499291510117258","0.000499291510117258","13_12:1;13_14:0.003412141836833249","13_12:1;13_14:0.006257692798290609","13_12:68;13_14:68","true"
"14","163.8219111339136","104.38651563151308","0.010299999999999976","0.0136","0.007","1560","0.00024310317144578194","0.00024310317144578194","0","0.00024310317144578194","0.00024310317144578194","14_13:0.003412141836833249","14_13:0.006257692798290609","14_13:68","true"
"15","196.14307913892165","38.215673789105004","0.016599999999999948","0.033","0.0002","1560","0.0005698620310054019","0.0005698620310054019","0","0.0005698620310054019","0.0005698620310054019","15_0:0.003185988646027066;15_19:0.012233513412791497","15_0:0.0033698463699340653;15_19:0.005244276522156782","15_0:68;15_19:80","true"
"16","137.5421878264693","124.67869150453701","0.02080000000000004","0.0206","0.021","1560","0.00042104563792282605","0.00042104563792282605","0","0.00042104563792282605","0.00042104563792282605","16_23:0.005293866357492655;16_4:0.002950655557318854","16_23:0.004617370918738678;16_4:0.005270841971318885","16_23:184;16_4:80","true"
"17","95.59949228981783","62.93578254987726","0.014000000000000012","0.0238","0.0042","1560","0.0016887537469458995","0.0016887537469458995","0","0.0016887537469458995","0.0016887537469458995","17_27:0.0052025389213423145;17_8:0.003973448646343053","17_27:0.008997482769986076;17_8:0.00813320561890421","17_27:160;17_8:108","true"
"18","212.24419811322713","208.6883809204764","0.019399999999999973","0.0326","0.0062","1560","0.00018156699111036766","0.00018156699111036766","0","0.00018156699111036766","0.00018156699111036766","18_12:0.002899570812062102;18_31:0.0019631252228087814","18_12:1;18_31:1","18_12:68;18_31:68","true"
"19","123.78785462114787","222.15783534784896","0.033399999999999985","0.0478","0.019","1560","0.0006259676543420588","0.0006259676543420588","0","0.0006259676543420588","0.0006259676543420588","19_20:0.014307495049362878;19_15:0.012233513412791497","19_20:0.011863423384198962;19_15:0.005244276522156782","19_20:108;19_15:80","true"
"20","310.0545393886763","146.95770109880286","0.013700000000000045","0.018","0.0094","1560","0.0002684042513129247","0.0002684042513129247","0","0.0002684042513129247","0.0002684042513129247","20_19:0.014307495049362878;20_21:0.012712493584686901","20_19:0.011863423384198962;20_21:0.05823603049204373","20_19:108;20_21:68","true"
"21","10.595868783707823","23.024568205639742","0.0615","0.0998","0.0232","1560","0.0007509835283638808","0.0007509835283638808","0","0.0007509835283638808","0.0007509835283638808","21_34:0.05290811275860999;21_20:0.012712493584686901;21_22:0.007888858839596335","21_34:1;21_20:0.05823603049204373;21_22:1","21_34:68;21_20:68;21_22:68","true"
"22","31.90790538981681","53.402361169330646","0.05840000000000001","0.0656","0.0512","1560","0.0006452674874564721","0.0006452674874564721","0","0.0006452674874564721","0.0006452674874564721","22_23:0.007487715909937298;22_21:0.007888858839596335","22_23:0.005144847928674617;22_21:1","22_23:68;22_21:68","true"
"23","74.31625810071361","87.65258078135088","0.08560000000000001","0.1008","0.0704","1560","0.0003454605691588424","0.0003454605691588424","0","0.0003454605691588424","0.0003454605691588424","23_22:0.007487715909937298;23_24:0.002836112921162093;23_16:0.005293866357492655","23_22:0.005144847928674617;23_24:0.0033509986820347837;23_16:0.004617370918738678","23_22:68;23_24:68;23_16:184","true"
"24","122.5222351354694","130.83486225806394","0.13739999999999997","0.0906","0.1842","1560","0.00034292995947003983","0.00034292995947003983","0","0.00034292995947003983","0.00034292995947003983","24_23:0.002836112921162093;24_25:0.0018085787949324306","24_23:0.0033509986820347837;24_25:0.003503897935549949","24_23:68;24_25:68","true"
"25","273.96133219233576","205.48781260331128","0.1473","0.1606","0.134","1560","0.00035566359565734006","0.00035566359565734006","0","0.00035566359565734006","0.00035566359565734006","25_24:0.0018085787949324306;25_26:0.0022286829812799835;25_35:0.0023782379438440637","25_24:0.003503897935549949;25_26:0.002863071673591344;25_35:0.004594053040727186","25_24:68;25_26:68;25_35:108","true"
"26","207.5943605846509","168.95450347466058","0.03820000000000001","0.0388","0.0376","1560","0.000270472043003049","0.000270472043003049","0","0.000270472043003049","0.000270472043003049","26_25:0.0022286829812799835;26_27:0.002056387295131634","26_25:0.002863071673591344;26_27:0.00397275692356594","26_25:68;26_27:68","true"
"27","135.9246154132302","96.77326929127048","0.028299999999999992","0.0304","0.0262","1560","0.0003076441008041344","0.0003076441008041344","0","0.0003076441008041344","0.0003076441008041344","27_26:0.002056387295131634;27_28:0.004197181764750202;27_17:0.0052025389213423145","27_26:0.00397275692356594;27_28:0.004946335713547356;27_17:0.008997482769986076","27_26:68;27_28:80;27_17:160","true"
"28","181.86051857808573","201.7668574666384","0.006299999999999972","0.011","0.0016","1560","0.0004365258059853058","0.0004365258059853058","0","0.0004365258059853058","0.0004365258059853058","28_27:0.004197181764750202;28_29:0.0035773536785663196","28_27:0.004946335713547356;28_29:0.005258132092293255","28_27:80;28_29:116","true"
"29","165.2828063001148","143.0042297719591","0.008199999999999985","0.0114","0.005","1560","0.00028459332942843964","0.00028459332942843964","0","0.00028459332942843964","0.00028459332942843964","29_36:0.0022241667188851733;29_28:0.0035773536785663196;29_30:0.002659320542455379","29_36:0.003709219657579782;29_28:0.005258132092293255;29_30:0.0030918045589456156","29_36:68;29_28:116;29_30:68","true"
"30","177.13913766862262","96.252360233635","0.009399999999999964","0.0122","0.0066","1560","0.0003623852016559318","0.0003623852016559318","0","0.0003623852016559318","0.0003623852016559318","30_31:0.001918506972581585;30_29:0.002659320542455379","30_31:0.0024006053636881353;30_29:0.0030918045589456156","30_31:68;30_29:68","true"
"31","240.80940077731756","235.4105371728668","0.05410000000000004","0.0678","0.0404","1560","0.00017413669330463584","0.00017413669330463584","0","0.00017413669330463584","0.00017413669330463584","31_30:0.001918506972581585;31_32:0.0025514788027729274;31_18:0.0019631252228087814","31_30:0.0024006053636881353;31_32:0.004240602973970553;31_18:1","31_30:68;31_32:68;31_18:68","true"
"32","139.47395671189273","129.19683929501863","0.017299999999999982","0.025","0.0096","1560","0.0002690335837060663","0.0002690335837060663","0","0.0002690335837060663","0.0002690335837060663","32_31:0.0025514788027729274;32_33:0.0023371605988127264","32_31:0.004240602973970553;32_33:0.003848045321850624","32_31:68;32_33:68","true"
"33","208.89770038594543","74.60351702878667","0.02070000000000005","0.0214","0.02","1560","0.0003665194496200568","0.0003665194496200568","0","0.0003665194496200568","0.0003665194496200568","33_37:0.003395478838757293;33_32:0.0023371605988127264","33_37:0.0034688094579530815;33_32:0.003848045321850624","33_37:88;33_32:68","true"
"34","329.5049016421863","133.10726546361","0.02839999999999998","0.0296","0.0272","1560","0.00016052489171187068","0.00016052489171187068","0","0.00016052489171187068","0.00016052489171187068","34_21:0.05290811275860999;34_40:0.0023764045268163114","34_21:1;34_40:0.003484806164439913","34_21:68;34_40:96","true"
"35","242.53251986259653","149.49499165003638","0.016900000000000026","0.0142","0.0196","1560","0.0003444195677559598","0.0003444195677559598","0","0.0003444195677559598","0.0003444195677559598","35_44:0.0025231416743524693;35_25:0.0023782379438440637","35_44:0.0055755196489654935;35_25:0.004594053040727186","35_44:108;35_25:108","true"
"36","53.77520759864316","83.18434976624724","0.009600000000000053","0.0152","0.004","1560","0.0005074498801191405","0.0005074498801191405","0","0.0005074498801191405","0.0005074498801191405","36_48:0.0032774805163011955;36_29:0.0022241667188851733","36_48:0.006338642056327032;36_29:0.003709219657579782","36_48:68;36_29:68","true"
"37","123.02572012087504","77.72505113383285","0.0049000000000000155","0.009","0.0008","1560","0.0005996364037667319","0.0005996364037667319","0","0.0005996364037667319","0.0005996364037667319","37_33:0.003395478838757293;37_52:0.0032966154267851655","37_33:0.0034688094579530815;37_52:0.0031759528349575294","37_33:88;37_52:104","true"
"38","214.10631547907602","150.71863828652624","0.07930000000000004","0.0918","0.0668","1560","0.00042245725901997425","0.00042245725901997425","0","0.00042245725901997425","0.00042245725901997425","38_53:0.025517074614656576;38_39:0.0024783793066524007","38_53:0.029888058132561512;38_39:0.005755074963914586","38_53:68;38_39:68","true"
"39","159.84928289469198","199.71197747235422","0.0343","0.0258","0.0428","1560","0.0002701903633767387","0.0002701903633767387","0","0.0002701903633767387","0.0002701903633767387","39_38:0.0024783793066524007;39_40:0.0048713470038898865","39_38:0.005755074963914586;39_40:0.004499480239528286","39_38:68;39_40:68","true"
